# !!! ------------------------------- NOTE!! --------------------------------- !!!
# !!! THESE COMPOUNDS ARE READ FROM THE DEFINITION FILE, NOT KPP OUTPUT. THIS  !!!
# !!! MEANS THAT THE NUMBER OF COMPOUNDS MAY BE MORE THAN IS ACTUALLY IN THE   !!!
# !!! SCHEME. ALSO, THE ORDER OF COMPOUNDS IS _NOT_ THE SAME AS THE INDICES IN !!!
# !!! CHEMISTRY. THE INFORMATION IN THIS FILE SHOULD BE USED IN A DICTIONARY.  !!! 
# If all atoms are zero, scheme definition had IGNORE in elemental composition
# name                         mass          C  H  O  N  S Cl Br  I  is_Radical
M2PEANO3                       147.17400000  6 13  3  1  0  0  0  0   0
HO1MC5O2                       133.16700000  6 13  3  0  0  0  0  0   1
HO1MC5O                        117.16800000  6 13  2  0  0  0  0  0   0
HO1MC5NO3                      163.17300000  6 13  4  1  0  0  0  0   0
HO2C54CHO                      116.16000000  6 12  2  0  0  0  0  0   0
M2PEAOOH                       118.17600000  6 14  2  0  0  0  0  0   0
C54CHO                         100.16100000  6 12  1  0  0  0  0  0   0
M2PEAOH                        102.17700000  6 14  1  0  0  0  0  0   0
HO1MC5OOH                      134.17500000  6 14  3  0  0  0  0  0   0
CO2MC5OH                       116.16000000  6 12  2  0  0  0  0  0   0
HO14MC5                        118.17600000  6 14  2  0  0  0  0  0   0
C54CO3                         131.15100000  6 11  3  0  0  0  0  0   1
C6PAN3                         177.15600000  6 11  5  1  0  0  0  0   0
C54CO3H                        132.15900000  6 12  3  0  0  0  0  0   0
HO2C54O2                       119.14000000  5 11  3  0  0  0  0  0   1
HO2C54CO3                      147.15000000  6 11  4  0  0  0  0  0   1
CO2C54CHO                      114.14400000  6 10  2  0  0  0  0  0   0
HO2C54O                        103.14100000  5 11  2  0  0  0  0  0   0
HO2C54NO3                      149.14600000  5 11  4  1  0  0  0  0   0
HO2CO4C5                       102.13300000  5 10  2  0  0  0  0  0   0
HO24C5O2                       135.13900000  5 11  4  0  0  0  0  0   1
HO24C5O                        119.14000000  5 11  3  0  0  0  0  0   0
HO24C5NO3                      165.14500000  5 11  5  1  0  0  0  0   0
C6PAN4                         193.15500000  6 11  6  1  0  0  0  0   0
HO2C54CO3H                     148.15800000  6 12  4  0  0  0  0  0   0
HO2C54CO2H                     132.15900000  6 12  3  0  0  0  0  0   0
HO2C54OOH                      120.14800000  5 12  3  0  0  0  0  0   0
HO24C5                         104.14900000  5 12  2  0  0  0  0  0   0
HO24C5OOH                      136.14700000  5 12  4  0  0  0  0  0   0
HO24C4CHO                      118.13200000  5 10  3  0  0  0  0  0   0
HO124C5                        120.14800000  5 12  3  0  0  0  0  0   0
HO24C4CO3                      149.12200000  5  9  5  0  0  0  0  0   1
C5PAN10                        195.12700000  5  9  7  1  0  0  0  0   0
HO24C4CO3H                     150.13000000  5 10  5  0  0  0  0  0   0
M2PEBO                         101.16900000  6 13  1  0  0  0  0  0   0
M2PEBNO3                       147.17400000  6 13  3  1  0  0  0  0   0
MIBK                           100.16100000  6 12  1  0  0  0  0  0   0
HO2MC5O2                       133.16700000  6 13  3  0  0  0  0  0   1
HO2MC5O                        117.16800000  6 13  2  0  0  0  0  0   0
