#Compound                    Mass                        parameter_A              parameter_B              surface_tension   
HIEB1O                       149.122000000000            10.458044299990          5345.017469689919        0.05
INB1HPCO3H                   227.126300000000            13.530644914373          7236.006481865791        0.05
C107OOH                      200.231600000000             9.817231151354          4760.068447930444        0.05
C517CO3H                     162.140600000000            10.651668656389          5318.861405370124        0.05
C826OOH                      190.193800000000            11.884265643628          6247.033693684652        0.05
INB1HPPAN                    272.123800000000            13.253344584215          6963.865788426570        0.05
LMLKBOOH                     202.204500000000            10.635352477216          5570.906594199626        0.05
C57OH                        134.130500000000             9.267234374101          4619.161649916813        0.05
MMALNBPAN                    254.108500000000            10.502452933707          5260.822176450176        0.05
BCKBOOH                      256.338000000000            12.492585644797          6482.371616234873        0.05
C537OOH                      182.042600000000            11.660415206395          6413.277511925658        0.05
C1214O                       227.276900000000            10.057638480878          4871.213064697256        0.05
C614OOH                      162.140600000000            11.441921535213          5645.264461885806        0.05
NBCALOH                      315.362100000000            10.174022607121          5140.799685606848        0.05
NAPINBOOH                    231.245700000000            11.348155826329          5360.544637128662        0.05
C717OOH                      174.151300000000            10.467966679951          5119.294649133179        0.05
HOPINONIC                    200.231600000000            11.303230114738          5858.773645597281        0.05
C826OH                       174.194400000000            10.541595236088          5353.656122478619        0.05
BCLKCCO                      252.306200000000            10.257786830571          5137.694248705916        0.05
C719OOH                      176.167200000000            13.238952075703          7103.483108047608        0.05
INB1NBCO3                    255.116500000000            11.546909129541          5385.032379978998        0.05
C730OOH                      178.183100000000            12.767084360256          6844.158114180790        0.05
C827CO3H                     202.204500000000             9.820215877265          4760.819017061880        0.05
C521OH                       132.114600000000            10.517741515319          4984.124724799132        0.05
C1310CO                      256.294900000000            13.979297063372          7746.273040717757        0.05
LIMALNO3                     247.245100000000            10.382044043980          5096.230672698736        0.05
C734OOH                      192.166600000000            13.725191544408          7627.815708408590        0.05
C136OH                       210.312600000000            10.305083381475          4912.858946394927        0.05
C728NO3                      207.181200000000            10.630293173999          5191.530649958860        0.05
NC102O2                      260.220700000000            10.659633650228          5165.564887000466        0.05
HPC52OOH                     166.129300000000            10.864006982656          5822.370182457678        0.05
NAPINAOOH                    231.245700000000            11.348155826329          5360.544637128662        0.05
BCKAOO                       254.322100000000             9.603827915290          4952.803606026283        0.05
BCKAOH                       240.338600000000            11.783645689374          5962.618895868744        0.05
NPXYFUOOH                    193.111600000000            12.011776725180          5691.087380536983        0.05
