        INANCHO      1.60      5.00      8.00      2.00        224.126       6.49e-12       1.88e+08
          C137O      0.23     13.00      3.00      0.00        225.304       1.19e-09       3.44e+10
          C829O      0.50      8.00      4.00      0.00        173.186       3.88e-08       1.13e+12
        C87CO3H      0.67      9.00      6.00      0.00        216.188       6.06e-12       1.76e+08
        C1013OH      0.30     10.00      3.00      0.00        186.248       8.77e-08       2.54e+12
        C721CHO      0.38      8.00      3.00      0.00        156.179       9.21e-09       2.67e+11
          NC4OO      1.50      4.00      6.00      1.00        165.101       7.21e-08       2.09e+12
        C89CO3H      0.44      9.00      4.00      0.00        186.205       1.05e-08       3.03e+11
        C728OOH      0.71      7.00      5.00      0.00        178.183       4.10e-15       1.19e+05
        C536OOH      1.40      5.00      7.00      0.00        182.043       6.94e-17       2.01e+03
     HOC2H4CO3H      1.33      3.00      4.00      0.00        106.077       9.43e-08       2.74e+12
         BCLKET      0.21     14.00      3.00      0.00        238.323       4.36e-10       1.26e+10
          C527O      1.00      5.00      5.00      0.00        149.122       2.46e-09       7.13e+10
         C139O2      0.38     13.00      5.00      0.00        257.303       5.11e-12       1.48e+08
       HC4CCO3H      0.80      5.00      4.00      0.00        132.115       1.61e-08       4.67e+11
       C1211OOH      0.42     12.00      5.00      0.00        244.284       4.20e-16       1.22e+04
        C530OOH      0.80      5.00      4.00      0.00        134.131       4.70e-10       1.36e+10
          INB2O      1.20      5.00      6.00      1.00        180.136       1.02e-09       2.97e+10
        LMLKBOH      0.44      9.00      4.00      0.00        186.205       6.11e-11       1.77e+09
       BCSOZOOH      0.40     15.00      6.00      0.00        302.363       1.04e-14       3.02e+05
         C614CO      0.67      6.00      4.00      0.00        144.125       6.66e-09       1.93e+11
         C625OH      0.67      6.00      4.00      0.00        148.157       4.14e-12       1.20e+08
       C1210OOH      0.33     12.00      4.00      0.00        228.285       4.29e-12       1.24e+08
       HMACROOH      1.25      4.00      5.00      0.00        136.103       2.57e-14       7.44e+05
       HC4ACO3H      0.80      5.00      4.00      0.00        132.115       1.61e-08       4.67e+11
        C531OOH      1.00      5.00      5.00      0.00        146.098       2.95e-09       8.57e+10
        NC524OH      1.40      5.00      7.00      1.00        197.143       9.59e-18       2.78e+02
        NC524O2      1.60      5.00      8.00      1.00        212.135       8.83e-13       2.56e+07
         C919OH      0.44      9.00      4.00      0.00        186.205       2.14e-10       6.21e+09
      INAHPCO2H      1.60      5.00      8.00      1.00        211.127       1.02e-17       2.96e+02
         C625O2      0.83      6.00      5.00      0.00        163.149       4.85e-08       1.41e+12
         C513CO      0.80      5.00      4.00      0.00        130.099       1.49e-08       4.33e+11
         NC102O      0.60     10.00      6.00      1.00        244.221       2.34e-09       6.78e+10
          PINIC      0.44      9.00      4.00      0.00        186.205       2.11e-12       6.13e+07
      H3C2C4PAN      1.40      5.00      7.00      1.00        193.112       7.17e-09       2.08e+11
     C4MALOHOOH      1.00      5.00      5.00      0.00        148.114       1.51e-11       4.37e+08
       BCLKAOOH      0.36     14.00      5.00      0.00        270.322       1.94e-14       5.63e+05
       C1211CO3      0.46     13.00      6.00      0.00        271.286       3.63e-09       1.05e+11
       NBCALOOH      0.47     15.00      7.00      1.00        331.361       1.30e-11       3.78e+08
      MVKOHBOOH      1.25      4.00      5.00      0.00        136.103       2.34e-14       6.80e+05
       C1213OOH      0.58     12.00      7.00      0.00        276.283       3.16e-22       9.17e-03
     CHOMOHCO3H      1.25      4.00      5.00      0.00        134.087       2.35e-08       6.82e+11
        C108OOH      0.50     10.00      5.00      0.00        216.231       2.44e-12       7.08e+07
       INANCO2H      1.80      5.00      9.00      2.00        240.125       5.34e-16       1.55e+04
     CO25C6CO3H      0.71      7.00      5.00      0.00        174.151       2.11e-09       6.12e+10
        C4PAN10      2.00      4.00      8.00      1.00        195.084       9.73e-12       2.82e+08
        C524OOH      0.80      5.00      4.00      0.00        134.131       4.44e-12       1.29e+08
     C23O3CCO3H      1.20      5.00      6.00      0.00        162.097       2.53e-08       7.34e+11
      NBPINAOOH      0.50     10.00      5.00      1.00        231.246       2.09e-11       6.07e+08
         C517OH      0.60      5.00      3.00      0.00        118.131       1.21e-08       3.52e+11
         C4PAN6      1.75      4.00      7.00      1.00        179.085       3.24e-08       9.41e+11
         C812OH      0.50      8.00      4.00      0.00        174.194       2.24e-13       6.51e+06
         C914OH      0.44      9.00      4.00      0.00        184.189       4.12e-10       1.20e+10
         C524CO      0.60      5.00      3.00      0.00        116.115       8.58e-09       2.49e+11
        C1312OH      0.31     13.00      4.00      0.00        242.311       1.96e-14       5.69e+05
         BCCNO3      0.27     15.00      4.00      1.00        283.363       8.34e-08       2.42e+12
        C1310OH      0.38     13.00      5.00      0.00        258.311       8.21e-19       2.38e+01
     C6TONOHOOH      1.00      6.00      6.00      0.00        176.124       3.61e-14       1.05e+06
         NC101O      0.50     10.00      5.00      1.00        228.222       3.28e-08       9.53e+11
     INB1NBCO2H      1.80      5.00      9.00      2.00        240.125       3.19e-16       9.26e+03
        C1310O2      0.46     13.00      6.00      0.00        273.302       6.41e-14       1.86e+06
       C126CO3H      0.31     13.00      4.00      0.00        240.296       1.22e-10       3.54e+09
      NOPINAOOH      0.33      9.00      3.00      0.00        170.206       6.95e-09       2.02e+11
        C1312O2      0.38     13.00      5.00      0.00        257.303       2.32e-10       6.72e+09
        C525OOH      1.20      5.00      6.00      0.00        166.129       3.32e-18       9.62e+01
        C534OOH      1.40      5.00      7.00      0.00        180.113       2.55e-14       7.39e+05
       C137CO2H      0.29     14.00      4.00      0.00        254.322       2.91e-15       8.45e+04
        C921OOH      0.56      9.00      5.00      0.00        204.220       1.28e-15       3.71e+04
         NC71CO      0.86      7.00      6.00      1.00        201.134       8.94e-10       2.59e+10
         BCLKBO      0.29     14.00      4.00      0.00        253.314       5.22e-10       1.51e+10
      C3DIOLOOH      1.33      3.00      4.00      0.00        108.093       1.42e-11       4.12e+08
       INAHPCO3      1.80      5.00      9.00      1.00        226.118       2.05e-08       5.94e+11
       NORLIMO2      0.56      9.00      5.00      0.00        203.212       2.73e-08       7.92e+11
       BPINCOOH      0.30     10.00      3.00      0.00        186.248       1.88e-11       5.44e+08
        C614NO3      1.00      6.00      6.00      1.00        191.139       6.31e-11       1.83e+09
        C10PAN2      0.60     10.00      6.00      1.00        245.229       6.25e-09       1.81e+11
       C518CO3H      0.67      6.00      4.00      0.00        146.141       1.51e-08       4.37e+11
        C519OOH      0.80      5.00      4.00      0.00        134.131       4.19e-10       1.21e+10
      CO2H3CO3H      1.25      4.00      5.00      0.00        134.087       9.65e-09       2.80e+11
        C85CO3H      0.44      9.00      4.00      0.00        186.205       1.93e-08       5.59e+11
       BPINBOOH      0.30     10.00      3.00      0.00        186.248       8.45e-11       2.45e+09
         C126CO      0.17     12.00      2.00      0.00        194.270       3.78e-08       1.10e+12
         C811OH      0.38      8.00      3.00      0.00        158.195       1.50e-10       4.34e+09
      INAHPCO3H      1.80      5.00      9.00      1.00        227.126       1.57e-16       4.56e+03
        C515CHO      0.67      6.00      4.00      0.00        142.109       6.15e-08       1.78e+12
       C1312OOH      0.38     13.00      5.00      0.00        258.311       4.08e-16       1.18e+04
         C146OH      0.29     14.00      4.00      0.00        254.322       6.92e-13       2.01e+07
        NC72OOH      1.14      7.00      8.00      1.00        233.132       2.74e-14       7.94e+05
         C818CO      0.50      8.00      4.00      0.00        172.179       6.69e-10       1.94e+10
     H3C25CCO2H      0.71      7.00      5.00      0.00        174.151       2.69e-13       7.81e+06
         C146O2      0.36     14.00      5.00      0.00        269.313       3.08e-09       8.94e+10
     H3C25C6OOH      0.83      6.00      5.00      0.00        162.141       5.36e-12       1.56e+08
       C1310OOH      0.46     13.00      6.00      0.00        274.310       1.01e-20       2.93e-01
        NC101CO      0.40     10.00      4.00      1.00        213.230       1.37e-08       3.98e+11
      MACRNCO2H      1.50      4.00      6.00      1.00        165.101       2.89e-12       8.39e+07
        BCBOCOO      0.36     14.00      5.00      0.00        270.322       2.98e-10       8.66e+09
       INANCO3H      2.00      5.00     10.00      2.00        256.124       5.14e-15       1.49e+05
     H3C25C6PAN      1.14      7.00      8.00      1.00        235.148       1.08e-11       3.14e+08
     C23O3CCO2H      1.00      5.00      5.00      0.00        146.098       4.53e-09       1.31e+11
      HYPROPO2H      1.00      3.00      3.00      0.00         92.094       6.59e-08       1.91e+12
         C144O2      0.36     14.00      5.00      0.00        271.329       1.03e-10       2.98e+09
      H3C25C6OH      0.67      6.00      4.00      0.00        146.141       1.80e-10       5.23e+09
         C732OH      0.57      7.00      4.00      0.00        160.168       5.19e-12       1.50e+08
