#                     time          SMEAR_TEMP_168.dat                SMEAR_RH.dat                SMEAR_CS.dat             SMEAR_PRESS.dat               SA_ground.dat                     NH3.dat               All_J.dat.csv
9.15138888888899941776e+01  1.52992645882700006865e+00  4.39499456434799995463e+01  4.83643201058199957015e-03  9.90499992006400020728e+02  4.35607766710199974477e+06  2.00000000000000000000e+00  3.68623626504430979001e-02
9.15208333333300032564e+01  1.87988489208699993682e+00  4.57900287769800016235e+01  4.79984801587299975134e-03  9.90630052757799944629e+02  4.23923100065299961716e+06  3.05639210807200001341e+00  1.77371290011240009821e-02
9.15277777777800025660e+01  2.23989128696800010587e+00  4.47600607513999975140e+01  5.00302629629599971556e-03  9.90550041566699974283e+02  4.49056216619800031185e+06  2.00000000000000000000e+00  3.35454957369150999491e-02
9.15347222222199974340e+01  1.69015987210499996074e+00  4.41701534772199977397e+01  5.21210037037100025470e-03  9.90620025579499952073e+02  4.74189333380199968815e+06  2.40289189571900019260e+00  1.81104425698397991651e-01
9.15416666666699967436e+01  2.07998561151099981004e+00  4.39399904076700025257e+01  5.42117444444499985839e-03  9.90509966426899950420e+02  4.99322450138499960303e+06  2.00000000000000000000e+00  4.00424376749146992971e-01
9.15486111111100058224e+01  2.41001119104799998993e+00  4.25500367705899975590e+01  5.53464413888900014921e-03  9.90419984012800000528e+02  5.24105233425700012594e+06  6.62652883552199956085e+00  5.26090446305376047142e-01
9.15555555555600051321e+01  2.56014708233200005694e+00  4.16697633892899972352e+01  5.64329344444399957914e-03  9.90390006394899955922e+02  5.48888016712800040841e+06  3.44733992146499979015e+00  5.54538542642450948961e-01
9.15625000000000000000e+01  2.72999999999999998224e+00  4.09200000000000017053e+01  5.76121333333300036234e-03  9.90470000000000027285e+02  5.73670800000000000000e+06  7.99530651714000040187e+00  6.49625924756097039570e-01
9.15694444444399948679e+01  2.86993605115999983468e+00  4.07397889688299983391e+01  5.99862074074100030258e-03  9.90339910471599978337e+02  5.97544799955500010401e+06  6.17683365446399967880e+00  6.86078551930263014214e-01
9.15763888888899941776e+01  3.23000319744200004024e+00  3.76701454836300015927e+01  6.23602814814800017473e-03  9.90270015987200054042e+02  6.21418799911100044847e+06  3.44811625987999992304e+00  6.32429883295953954025e-01
9.15833333333300032564e+01  2.94016306954399997409e+00  3.82700479616299986674e+01  6.45918587301599986944e-03  9.90120067146300016248e+02  6.45292799866599962115e+06  4.07576014278900000676e+00  4.24953012529242002415e-01
9.15902777777800025660e+01  2.96995523581100018262e+00  3.85001183053599973505e+01  6.39972489417999987338e-03  9.89929964828099969054e+02  5.84943300112500041723e+06  2.00000000000000000000e+00  3.70107985722021026742e-01
9.15972222222199974340e+01  3.32997442046299996221e+00  3.88497729816100019207e+01  6.34026391534399987732e-03  9.89970067146300038985e+02  5.24593799887499958277e+06  2.00000000000000000000e+00  2.66509327139394014416e-01
9.16041666666699967436e+01  3.48011510791299993883e+00  3.72999040767399989704e+01  6.28213484126999982537e-03  9.90169990407699970092e+02  4.64244299794500041753e+06  4.68086051828399973829e+00  2.12603994722719985555e-02
9.16111111111100058224e+01  3.84998721023100021199e+00  3.70001183053700017922e+01  6.27816989418000011985e-03  9.90029993605100003151e+02  4.27472816529699973762e+06  2.00000000000000000000e+00  9.99999999999999954748e-07
9.16180555555600051321e+01  3.59996163069599983686e+00  3.80702238209400007918e+01  6.27420494709000041433e-03  9.89840031974399948922e+02  3.90701333264800021425e+06  3.34591104350900003794e+00  9.99999999999999954748e-07
